termino,tfidf_medio,frecuencia
plus,0.006407805509290053,4
been,0.006369331514822675,2
access,0.006335226297688011,2
bills,0.006303948345744316,6
personal,0.006232147877355124,3
turnover,0.0062205432290862745,4
items,0.006167386881968836,5
said,0.0061519910431343874,4
volume,0.006095835585211703,4
development,0.006088555579720736,3
points,0.0060269582106265325,2
green,0.0060210310435883435,5
charges,0.00601349537584316,3
amount,0.005991570625256681,3
being,0.005938906403705187,2
asset,0.005883542202909991,4
overdrafts,0.005877901895209167,4
provides,0.0058775653937440595,2
commitment,0.0058775653937440595,2
multiple,0.005861195388780063,1
agents,0.005861195388780063,1
distributed,0.005861195388780063,1
managing,0.005861195388780063,1
company,0.0058584557014287435,4
sudamericana,0.005843459848582048,2
dólares,0.005830070951600447,3
acciones,0.005830070951600447,3
mix,0.005830070951600447,3
agricultural,0.005806570056606633,2
creditors,0.005790366186129628,2
certain,0.005730954168391379,4
safe,0.0057252876447751845,3
unused,0.005615139389257273,3
requirement,0.005609157538313614,4
activity,0.0055795081829120696,2
yields,0.005530676560015375,5
investment,0.005529245877673253,3
country,0.005481245499761236,2
customer,0.005481245499761236,2
billions,0.00547869785119366,1
life,0.0053918712680538945,3
analysis,0.005345869060742588,3
august,0.005316332712356998,3
minimum,0.005307453908620373,5
term,0.00527197404294978,2
grow,0.005253370759131297,2
uva,0.005247338765829486,3
generated,0.0052279946989695104,3
who,0.005214825460615599,2
want,0.005214825460615599,2
bundles,0.0051472411903884545,3
issued,0.005135120795175085,4
depreciation,0.005094874403817868,3
totaled,0.005080366722831528,2
promote,0.005073073321676122,3
money,0.005045152693473005,2
businesses,0.0049556620472558195,3
increased,0.004938416013075786,4
communication,0.004913671478252222,5
day,0.004887511830328061,4
end,0.004867569347712802,3
included,0.004841193684654557,4
environmental,0.004816824834870675,4
mendoza,0.004816824834870675,4
sustainability,0.004816824834870675,4
institutions,0.0048140751080671665,4
transactional,0.004755190972221937,2
percentage,0.004755190972221937,2
options,0.004691741087130878,4
granted,0.0046881346304261965,3
high,0.004684690246699198,3
amortized,0.004675395461888387,4
fair,0.004675395461888387,4
collections,0.004633867951168486,2
underwriting,0.004630922279577036,3
sustainable,0.004615412417732171,3
one,0.0046055880088309116,3
byma,0.004552674688618503,3
nasdaq,0.004552674688618503,3
claims,0.004552172435272657,3
